OID_,OBJECTID_1,OBJECTID_2,RS,Partido,Localidad,Direccion,Establecim,CP,Tel,X,Y,CENTER_ID
,31,31,VI,ALMIRANTE BROWN,Burzaco,Avenida Cnel. T. Espora  N° 2250,Sanatorio Modelo Adrogué,1852,011-42997183,-58.389601689999999,-34.818339899999998,1
,32,32,VI,ALMIRANTE BROWN,Burzaco,Avenida Cnel. T. Espora N° 2289,Fresenius Medical Care Argentina S.A.,1852,011-42992320,-58.389122100000002,-34.817327100000000,2
,33,33,VI,ALMIRANTE BROWN,Burzaco,Roca N° 1045,Hogar Geriátrico Llar,1852, ,-58.392310000000002,-34.821899400000000,3
,34,34,VI,ALMIRANTE BROWN,Burzaco,Olavarria N° 2155,Hogar Geriátrico Santa Rosa,1852, ,-58.398063690000001,-34.836581289999998,4
,35,35,VI,ALMIRANTE BROWN,Burzaco,Alem N° 1459,Hogar Geriátrico San Antonio,1852, ,-58.380551990000001,-34.826782989999998,5
,36,36,VI,ALMIRANTE BROWN,Burzaco,9 de Julio N° 911,Hogar Geriátrico Casa Grande,1852, ,-58.390820290000001,-34.821223289999999,6
,37,37,VI,ALMIRANTE BROWN,Claypole,Cavour y 2 de Abril,Clínica Modelo Claypole,B1849,011-42191608,-58.346250499999996,-34.810367690000000,7
,38,38,VI,ALMIRANTE BROWN,Glew,Pcia. De Santa Fe N°3722,Fundacion Vida Nueva(Drogadependencia),1856, ,-58.405834400000003,-34.888345889999997,8
,39,39,VI,ALMIRANTE BROWN,JOSE MARMOL,Canale y Echeverria s/n°,Hospital Vecinal de Marmol Juan Marsico,1854, ,-58.381001789999999,-34.789976990000000,9
,40,40,VI,ALMIRANTE BROWN,JOSE MARMOL,King N° 1342,Residencia Geriátrica Las Marías,1846, ,-58.368485200000002,-34.795648589999999,10
,41,41,VI,ALMIRANTE BROWN,JOSE MARMOL,Avenida Jorge Santiago Bynnon N° 3084,Diaverum Argentina Sede Marmol(2142),1854, ,-58.367643100000002,-34.785768699999998,11
,42,42,VI,ALMIRANTE BROWN,Longchamps,Pte. B. Rivadavia N° 1256,Hospital Privado Emilio Burgwardt,1854,011-42971000/1005,-58.386631790000003,-34.857122799999999,12
,43,43,VI,ALMIRANTE BROWN,Longchamps,San Martin  N° 992,Clínica Privada Lonchamps,1854,011-42971671,-58.385751990000003,-34.861510590000002,13
,44,44,VI,ALMIRANTE BROWN,Longchamps,Belgrano N°1854,Otros Caminos son Posibles para la Rehabilitación de las Adicciones,1854, ,-58.392775489999998,-34.861051400000001,14
,61,61,VI,AVELLANEDA,Avellaneda,Avenida Belgrano N° 443,Centro Oncológico Avellaneda,1870,011-42018338/4205-4036,-58.368129500000002,-34.661864690000002,15
,62,62,VI,AVELLANEDA,Avellaneda,25 de Mayo  N° 531,Clínica de Psicopatología San Cayetano,1870,011-42010430,-58.359976899999999,-34.658295289999998,16
,63,63,VI,AVELLANEDA,Avellaneda,Paramaribo N° 5981,Policlínica Centro de Salud Wilde Este,1870, ,-58.366973899999998,-34.661075599999997,17
,64,64,VI,AVELLANEDA,Avellaneda,Mariano Acosta N° 141/53,Instituto Médico Traumatológico,B1870BRC,011-42012534,-58.369938689999998,-34.660545790000000,18
,65,65,VI,AVELLANEDA,Avellaneda,Laprida N° 70,Policlínica Obra Social Pers. Municipal,1870,011-42228513,-58.361834000000002,-34.663323890000001,19
,66,66,VI,AVELLANEDA,Avellaneda,Mariano Acosta N° 135,Centro Oncológico del Sud,1870,011-42013807,-58.369867499999998,-34.660497589999999,20
,67,67,VI,AVELLANEDA,Avellaneda,Palaa N° 325,Clínica Avellaneda Medical Center,B1870ATE,011-42222702,-58.370547989999999,-34.661295989999999,21
,68,68,VI,AVELLANEDA,Avellaneda,Mitre N° 2450,Centro Médico Madre Teresa,1870,011-42042420,-58.345892090000000,-34.679835290000000,22
,69,69,VI,AVELLANEDA,Avellaneda,San Martin N° 1021,Hospital de Día Centro de Estudios Psiquiátricos,1870, ,-58.363514289999998,-34.664812789999999,23
,70,70,VI,AVELLANEDA,Avellaneda,Avenida Pavon N° 670,Sanatorio Regional Avellaneda,B1870,011-63455500,-58.377636389999999,-34.665278190000002,24
,71,71,VI,AVELLANEDA,Avellaneda,12 de Octubre N°147,Centro Regional de Hemoterapia Fundosol,1870,011-42019855,-58.359857300000002,-34.663307690000003,25
,72,72,VI,AVELLANEDA,Avellaneda,Zeballos N° 838,Salud Total,1870,011-42017404,-58.360920700000001,-34.661169190000003,26
,73,73,VI,AVELLANEDA,Avellaneda,Hijas del Ayuntamiento de Boiro N° 1522,Grupo Linde Gas Argentina SA,1870, ,-58.366973899999998,-34.661075599999997,27
,74,74,VI,AVELLANEDA,Avellaneda,Hipolito Irigoyen N° 402,CNA Aseguradora de Riesgos de Trabajo SA(Centro de Diag.yTrat. Baja Complejidad),1870, ,-58.375655190000003,-34.662107689999999,28
,91,91,VI,AVELLANEDA,Pineyro,Giribone N° 875,Geriátrico San Gregorio,1870, ,-58.382008890000002,-34.665000290000002,29
,92,92,VI,AVELLANEDA,Pineyro,Lebensohn N° 747,Hogar Gereatrico San Bartolome,1870, ,-58.379845299999999,-34.664752399999998,30
,93,93,VI,AVELLANEDA,Pineyro,Entre Rios N° 935,DIAVERUM Argentina sede Alsina(2113),1870,011-42280477,-58.392974690000003,-34.670303099999998,31
,94,94,VI,AVELLANEDA,Sarandi,Ferre  N° 521,Clínica Nuestra Señora de La Dulce Espera,1872,011-42057100,-58.350292490000001,-34.685341489999999,32
,95,95,VI,AVELLANEDA,Sarandi,Avenida Mitre N° 2890,Centro Diagnóstico Curie,1872, ,-58.345816900000003,-34.679948490000001,33
,96,96,VI,AVELLANEDA,Sarandi,Independencia N° 144,Instituto del Niño SRL,1872, ,-58.348998190000003,-34.678147989999999,34
,97,97,VI,AVELLANEDA,Sarandi,Avenida Mitre N° 2694,Hogar Geriátrico Dasimat SRL,1872, ,-58.348265599999998,-34.676809890000001,35
,98,98,VI,AVELLANEDA,Sarandi,Gral. Madariaga N° 374/386,Centro de Día Arco Iris,1872, ,-58.347305089999999,-34.685188099999998,36
,99,99,VI,AVELLANEDA,Sarandi,Estrada N° 2451,A.P.A.N.A.U. Centro Educativo Terapéutico(Asociación Ayda Niño Autista),1872, ,-58.393256700000002,-34.627424290000000,37
,100,100,VI,AVELLANEDA,Villa Dominico,General Pico N° 213,Instituto Dominico,1874, ,-58.333526790000001,-34.695467290000003,38
,101,101,VI,AVELLANEDA,Villa Dominico,Dr. Casazza N° 47,Centro de Diálisis CEREHA SA,1874, ,-58.335172800000002,-34.689646689999996,39
,102,102,VI,AVELLANEDA,Villa Dominico,Casazza N° 71,Clínica Comunidad,1874, ,-58.334991090000003,-34.689292790000003,40
,103,103,VI,AVELLANEDA,Villa Dominico,Belgrano N° 4804,IDAC (Centro de Diagnóstico por Imágines),1874, ,-58.333339700000003,-34.695421500000002,41
,104,104,VI,AVELLANEDA,Wilde,Avenida Pte. B. Mitre N° 4302,Clínica y Sanatorio Dr. Eduardo Wilde S.A,1874,011-42078281/8282,-58.335937889999997,-34.690346599999998,42
,105,105,VI,AVELLANEDA,Wilde,Raquel Espanol N° 61,Centro de Día y Educativo Terapéutico Instituto Mannoni,1874, ,-58.314679400000003,-34.705144490000002,43
,191,191,VI,BERAZATEGUI,Berazategui,Calle 14 y 141 N° 731,Clínica Privada Berazategui,1884, ,-58.250723499999999,-34.783779400000000,44
,192,192,VI,BERAZATEGUI,Berazategui,Salta N° 4999,Centro Médico de Diagnóstico,1884,011-42563104,-58.205668199999998,-34.764236599999997,45
,193,193,VI,BERAZATEGUI,Berazategui,Calle 11 N° 4629,Clínica Privada de Psiquiatría y Psic. Mca. San Martín,B1884,011-42562947,-58.213591590000000,-34.759838799999997,46
,194,194,VI,BERAZATEGUI,Berazategui,Calle 14 N° 2622,Policlínica Privada Inte.de Diagnostico,1884, ,-58.211057889999999,-34.762716589999997,47
,195,195,VI,BERAZATEGUI,Berazategui,Calle 148 N° 1531,Policlínica Privada Julia C. de Tiscornia CENTRMED S.A.,1884,011-42561035/2935,-58.208022399999997,-34.762445790000001,48
,196,196,VI,BERAZATEGUI,Berazategui,Calle 149 esq. 12,Policlínica Asociación Mutual Prefarm,1884, ,-58.209695289999999,-34.759110090000000,49
,197,197,VI,BERAZATEGUI,Berazategui,Uruguay N°2797 PB,Fresenius Medical Care Arg. S.A.,1884,011-42234186,-58.213198300000002,-34.777892889999997,50
,15,15,VI,ALMIRANTE BROWN,Adrogue,Spiro N° 630,Clínica de Reposa Adrogue,1846, ,-58.396536900000001,-34.801984089999998,51
,16,16,VI,ALMIRANTE BROWN,Adrogue,Dr. B.Alsina N° 95,Centro Médico Neuropsiquiátrico S.A,1846,011-42930500,-58.403621190000003,-34.796323489999999,52
,17,17,VI,ALMIRANTE BROWN,Adrogue,Avenida Cnel. T. Espora N° 645,Clínica Privada Espora S.A,1846,011-4293011/7070/1260,-58.388904599999996,-34.801235200000001,53
,18,18,VI,ALMIRANTE BROWN,Adrogue,Almirante Fco.Jose Segui N° 593,Clínica I.M.A. (Instituto Médico Adrogé) S.A,1846,011-42141414,-58.388904599999996,-34.801235200000001,54
,19,19,VI,ALMIRANTE BROWN,Adrogue,Avenida Espora N° 1088,Centro Medico de Diag.Adrogue,1846, ,-58.388762190000001,-34.803703390000003,55
,20,20,VI,ALMIRANTE BROWN,Adrogue,Diagonal Almirante Brown N° 1556,Centro de Tomografía Computada Adrogué SRL,1846,011-42940618,-58.380166189999997,-34.798631190000002,56
,21,21,VI,ALMIRANTE BROWN,Adrogue,Somellera  N° 1021,Policlínica de A.T.S.A.,1846, ,-58.390555290000002,-34.802345299999999,57
,22,22,VI,ALMIRANTE BROWN,Adrogue,Macias N° 500,Policlínica CIM,1846, ,-58.392195489999999,-34.796430790000002,58
,23,23,VI,ALMIRANTE BROWN,Adrogue,Avenida Espora N° 3787,Centro de Diagnóstico en Medicina Laboral,1846, ,-58.385627890000002,-34.832788389999997,59
,24,24,VI,ALMIRANTE BROWN,Adrogue,Martin Rodriguez N° 769,Centro Educativo Terapéutico Dejalo Ser,1846, ,-58.399039590000001,-34.803939790000001,60
,25,25,VI,ALMIRANTE BROWN,Adrogue,Intendente Gonzalez(Ex Canale) N° 1457 1er. P,C.I.O.T. Adrogué Centro Integral de Ortopedia y Traumatología Adrogué,1846, ,-58.388904599999996,-34.801235200000001,61
,26,26,VI,ALMIRANTE BROWN,Adrogue,Drumond N° 1387,Hogar Geriátrico,1846, ,-58.380233599999997,-34.802937190000002,62
,27,27,VI,ALMIRANTE BROWN,Adrogue,Diagonal Almirante Brown N° 1537,Centro de Tomografías Odontológicas KRANEX,1846, ,-58.386332490000001,-34.797623600000001,63
,28,28,VI,ALMIRANTE BROWN,Adrogue,Castelli N° 953,Hogar Geriátrico Shakin,1846, ,-58.387987699999996,-34.801071600000000,64
,29,29,VI,ALMIRANTE BROWN,Adrogue,Rosales N° 458,Geriátrico La Quinta II,1846, ,-58.396741990000002,-34.805632500000002,65
,30,30,VI,ALMIRANTE BROWN,Burzaco,Avenida Cnel. T.  Espora  N° 3250,Sanatorio Modelo Burzaco S.A.,1852,011-42991242,-58.388378099999997,-34.827592690000003,66
,45,45,VI,ALMIRANTE BROWN,Longchamps,Juan B. Justo N° 40,Santa Clara de Asis(Desintoxicación de Adicciones),1854, ,-58.366934489999998,-34.862831090000000,67
,46,46,VI,ALMIRANTE BROWN,Rafael Calzada,Colon  N° 3263,Clínica Privada Colón,1847,011-42194000,-58.356564390000003,-34.794912289999999,68
,47,47,VI,ALMIRANTE BROWN,Rafael Calzada,San Jeronimo Sur N° 4990,Red de Apoyo Familiar Comunidad Terapéutica El Tambo(desintoxicación de Drogadependientes),1847, ,-58.336458090000001,-34.782302389999998,69
,48,48,VI,ALMIRANTE BROWN,Rafael Calzada,Altamira N° 1596,Consultorios Grupo Altamira,1847, ,-58.358720499999997,-34.793759790000003,70
,54,54,VI,AVELLANEDA,Avellaneda,12 de Octubre N° 219,Clínica de Ojos de Avellaneda,1870, ,-58.358953690000000,-34.662665189999998,71
,55,55,VI,AVELLANEDA,Avellaneda,Zeballos N° 1491,Clínica Privada Sanatorio 24 de Setiembre,1870,011-42042060,-58.356615189999999,-34.665628290000001,72
,56,56,VI,AVELLANEDA,Avellaneda,AvenidaMitre N° 963,Obra Social Conductores de Transportes Colect.de Pa.,1870, ,-58.362870690000001,-34.663696889999997,73
,57,57,VI,AVELLANEDA,Avellaneda,Dr. Adolfo Alsina N° 174/82,Sanatorio Profesor  Itoiz S.R.L,1870,011-42016631/1682,-58.366152300000003,-34.663997090000002,74
,58,58,VI,AVELLANEDA,Avellaneda,Avenida Mitre N° 2455,Sanatorio Mitre,1870,011-42650625,-58.349960590000002,-34.674407400000000,75
,59,59,VI,AVELLANEDA,Avellaneda,AvenidaMitre N° 671 Dto. G,Consultorios Médicos Ambulatorios,1870, ,-58.365896900000003,-34.661756199999999,76
,60,60,VI,AVELLANEDA,Avellaneda,Mitre N° 517,Policlínica Centro Diag.de Mastologia,1870, ,-58.367789899999998,-34.660343589999997,77
,75,75,VI,AVELLANEDA,Avellaneda,9 de Julio N° 64 2° Piso,Instituto Radiodiagnóstico Dentomaxilofacial,1870, ,-58.363212599999997,-34.664370490000003,78
,76,76,VI,AVELLANEDA,Avellaneda,Maipu N° 278/80,Instituto Renal Metropolitano SA,1870, ,-58.372301090000001,-34.660771390000001,79
,77,77,VI,AVELLANEDA,Avellaneda,Monsenor Piaggio N° 19,Diagnóstico por Imágines Avellaneda SA,1870, ,-58.363682689999997,-34.663534089999999,80
,78,78,VI,AVELLANEDA,Avellaneda,Laprida N°274,Centro de Rehabilitacion con internacion Seres 2 (Hogar),1870, ,-58.359054999999998,-34.661437100000001,81
,79,79,VI,AVELLANEDA,Avellaneda,Belgrano N° 848,Centro de Diálisis Fresenius Madical Care de Argentina,1874, ,-58.376930289999997,-34.689380989999997,82
,80,80,VI,AVELLANEDA,Avellaneda,25 de Mayo N° 348,Hogar Geriátrico del Sagrado,1870, ,-58.361505200000003,-34.659376389999998,83
,81,81,VI,AVELLANEDA,Avellaneda,12 de Octubre N° 275,Hogar Seres (Rehabilitación),1874, ,-58.358242199999999,-34.662153390000000,84
,82,82,VI,AVELLANEDA,Avellaneda,Maipu N° 278/80,Centro Médico de Atención Primaria OSECAC,1870, ,-58.372301090000001,-34.660771390000001,85
,83,83,VI,AVELLANEDA,Avellaneda,Guemes N° 897 Local 321/21/22,Centro de Nutrición y Estética S.A.,1870, ,-58.366973899999998,-34.661075599999997,86
,84,84,VI,AVELLANEDA,Avellaneda,Basavilbaso N° 1995/97,CIA Salud(Centro de Internación Domiciliaria),1870, ,-58.366973899999998,-34.661075599999997,87
,85,85,VI,AVELLANEDA,Avellaneda,Avenida Hipolito Irigoyen N° 2092,Policlínica Privada Piñeyro,1870, ,-58.385015000000003,-34.682083900000002,88
,86,86,VI,AVELLANEDA,Avellaneda,General Paz N° 130,Policlínica Privada SERES,1870, ,-58.362507090000001,-34.666340490000003,89
,87,87,VI,AVELLANEDA,Avellaneda,Avenida Mitre N° 501 2ª A,CEGAVE (Centro de Gastroenterología),1870, ,-58.367926290000000,-34.660245900000000,90
,88,88,VI,AVELLANEDA,Avellaneda,Avenida Mitre N° 2465,Hospital de Día Asociación Revivir,1870, ,-58.349841900000001,-34.674540899999997,91
,89,89,VI,AVELLANEDA,Avellaneda,Avenida Belgrano N° 3242,Terapia Renal Argentina Maestro Diego José Echave,1870, ,-58.345967899999998,-34.685020000000002,92
,90,90,VI,AVELLANEDA,Dock Sud,L.N.Alem N° 1654,Clínica Privada Emanuelle,1870, ,-58.346398700000002,-34.653670400000003,93
,106,106,VI,AVELLANEDA,Wilde,Lobos N° 539,Residencia Geriátrica Nuestros Mayores,1874, ,-58.317989200000000,-34.694112890000000,94
,107,107,VI,AVELLANEDA,Wilde,Boulevard de los Italianos N° 60,Hogar Geriátrico Copacabana,1874, ,-58.326943900000003,-34.697716790000001,95
,108,108,VI,AVELLANEDA,Wilde,Avenida Mitre N° 5958,Hogar Geriátrico Virgen de Copacabana II,1874, ,-58.321331299999997,-34.700845090000001,96
,198,198,VI,BERAZATEGUI,Berazategui,Calle 10 e/150 y 151 N° 5085,Centro de Diagnóstico Alta Complejidad CE.DI.AC. Berazategui,B1884,011-42568000,-58.209522499999999,-34.756305890000000,97
,199,199,VI,BERAZATEGUI,Berazategui,Calle 15 N° 5125,Centro  de Rehabilitación CETIB SRL,1884, ,-58.205456099999999,-34.760603089999996,98
,200,200,VI,BERAZATEGUI,Berazategui,Calle 11 N° 4567,Hosp. De Día de Clínia Psiq. Y Psicol. Médica San Martín,1884, ,-58.214419489999997,-34.760262200000000,99
,201,201,VI,BERAZATEGUI,Berazategui,Calle 138 Nª 1030 e/10 y 11,Centro de Diálisis,1884, ,-58.222644699999996,-34.763679089999997,100
,202,202,VI,BERAZATEGUI,Berazategui,Calle 141 N° 1371 e/13 y 14,Instituto de Ojos Santa Lucía Berazategui,B1884LNQ,011-42168057,-58.216969290000002,-34.765314099999998,101
,203,203,VI,BERAZATEGUI,Berazategui,Calle 117 N° 1350 e/13 y Avenida 14,Centro de Día Piedra Libre,1884, ,-58.241200589999998,-34.778096689999998,102
,204,204,VI,BERAZATEGUI,Berazategui,Calle 21 N°4064,Hogar Geriátrico y Hogar de Día El Abuelo Miguel,1884, ,-58.212027489999997,-34.772497690000002,103
,205,205,VI,BERAZATEGUI,Berazategui,Calle 141 N° 1378,Litoblast Instituto de Tratamiento de Cálculos,1884, ,-58.216818500000002,-34.765361890000001,104
,206,206,VI,BERAZATEGUI,Hudson,Calle 55 N° 160,Policlínica Privada Hudson,1885, ,-58.187812090000001,-34.765927099999999,105
,207,207,VI,BERAZATEGUI,Hudson,Calle 73 N° 6450 e/164 y 165,Comunidad Terapéutica Creer es Crear,1885, ,-58.137400290000002,-34.797075890000002,106
,208,208,VI,BERAZATEGUI,Hudson,Calle 52 N° 5553,Hogar Geriátrico Cabaña del Sur,1885, ,-58.166649000000000,-34.790146389999997,107
,209,209,VI,BERAZATEGUI,Platanos,Calle 152 N° 3542,Hogar Geriátrico El Amanecer,1884, ,-58.187047890000002,-34.778370389999999,108
,210,210,VI,BERAZATEGUI,Ranelagh,Camino Gral. Belgrano N° 4786,Clínica Privada Ranelagh,1886,011-42233727/3219/42588596,-58.216343389999999,-34.805812189999997,109
,211,211,VI,BERAZATEGUI,Ranelagh,Calle 368 A N° 1456 e/314 y 315,Hogar de Ancianos La Casa del Abuelo,1886, ,-58.190900499999998,-34.787404289999998,110
,212,212,VI,BERAZATEGUI,Ranelagh,Avenida Rigolleau(14) N° 4121 esq. 141,Nuevo Sanatorio Berazategui,1886,011-42160507,-58.220996200000002,-34.767866990000002,111
,349,349,VI,ESTEBAN ECHEVERRIA,Monte Grande,Rivadavia N° 148,Centro Pediátrico Monte Grande,1842, ,-58.463731889999998,-34.813073690000003,112
,350,350,VI,ESTEBAN ECHEVERRIA,Monte Grande,Vernet N° 2742,Policlínica Privada Vernet,1842, ,-58.485137700000003,-34.788953800000002,113
,351,351,VI,ESTEBAN ECHEVERRIA,Monte Grande,Hipolito Irigoyen N° 566,CEMYR S.R.L.,1842, ,-58.464145190000004,-34.819402990000000,114
,352,352,VI,ESTEBAN ECHEVERRIA,Monte Grande,Avenida Bruzone N° 687,Sanatorio Modelo Estrella,1842,011-42909020,-58.466347190000000,-34.803229889999997,115
,353,353,VI,ESTEBAN ECHEVERRIA,Monte Grande,Ameghino N° 350,Centro de Dia Instituto Jhaiti,1842, ,-58.462012399999999,-34.827178590000003,116
,354,354,VI,ESTEBAN ECHEVERRIA,Monte Grande,Avenida Leandro N. Alem N° 648,Clínica Privada Centro de Ojos Esteban Echeverría,B1842,011-42902215,-58.464650290000002,-34.820903100000002,117
,355,355,VI,ESTEBAN ECHEVERRIA,Monte Grande,Rivadavia N° 152,Centro de Día Indad SRL,1842, ,-58.463699589999997,-34.813114990000003,118
,356,356,VI,ESTEBAN ECHEVERRIA,Monte Grande,Ameghino N° 360,REDES(estimulación temprana), , ,-58.462012399999999,-34.827178590000003,119
,357,357,VI,ESTEBAN ECHEVERRIA,Monte Grande,Enrique Santamarina N° 226,Policlínica Asociación Mutual del Centro de Empleados de Comercio,1842, ,-58.462012399999999,-34.827178590000003,120
,358,358,VI,ESTEBAN ECHEVERRIA,Monte Grande,Juan Lavalle N°1150,Nuevo Centro,1842, ,-58.462012399999999,-34.827178590000003,121
,359,359,VI,ESTEBAN ECHEVERRIA,Monte Grande,Arana N° 224/28,Centro Médico Monde Gran,1842, ,-58.466358090000000,-34.813752200000003,122
,360,360,VI,ESTEBAN ECHEVERRIA,Monte Grande,Las Heras N° 169,Centro Educativo Terapéutico Milagros,1842, ,-58.467359600000002,-34.815246270000003,123
,361,361,VI,ESTEBAN ECHEVERRIA,Monte Grande,12  de Octubre N° 360/362,Hogar Geriátrico Volver a Vivir II,1842, ,-58.478393799999999,-34.811090989999997,124
,362,362,VI,ESTEBAN ECHEVERRIA,Monte Grande,Mariano Acosta N° 440,Solariega Atención Domiciliaria,1842, ,-58.473064700000002,-34.820234190000001,125
,363,363,VI,ESTEBAN ECHEVERRIA,Monte Grande,Vicente Lopez N° 424,Grupo Oftalmológico Monte Grande,1842, ,-58.467839789999999,-34.819260389999997,126
,378,378,VI,EZEIZA,Tristan Suarez,Canale  N° 30,Clínica Privada Tristán Suarez,1806,011-42348142,-58.566270789999997,-34.892336190000002,127
,379,379,VI,EZEIZA,Tristan Suarez,Gaddini N° 185,Sanatorio Nuevos Aires S. A.,1806, ,-58.566416199999999,-34.890925099999997,128
,380,380,VI,FLORENCIO VARELA,BARRIO SAN JUAN,Juan Cruz Contreras N° 160,Diagnóstico Médico Varela S.A.(Diagnóstico por Imágines),1888, ,-58.267506400000002,-34.806346589999997,129
,381,381,VI,FLORENCIO VARELA,Bosques,Ambato  N° 1627,Hogar y Centro de Dia Ser Especial,1888, ,-58.201901380000002,-34.815028730000002,130
,382,382,VI,FLORENCIO VARELA,Bosques,San Jose e/Leon XIII y Monterrey,Residencia para Adultos Mayores  El Aleph del Bosque S.A.,1888, ,-58.224620790000003,-34.825077090000001,131
,383,383,VI,FLORENCIO VARELA,Florencio Varela,12 de Octubre N° 370,Instituto del Diagnostico Florencio Varela,1888, ,-58.272976290000003,-34.816597590000001,132
,384,384,VI,FLORENCIO VARELA,Florencio Varela,Avenida San Martin  N° 1350 esq. Moreno,Clínica Privada Florencio Varela,1888,011-42559452,-58.278803889999999,-34.789529500000000,133
,385,385,VI,FLORENCIO VARELA,Florencio Varela,Salvador Sallares N° 377,Instituto Privado de Radiologia,1888, ,-58.271861590000000,-34.807605199999998,134
,386,386,VI,FLORENCIO VARELA,Florencio Varela,Pueyrredon  N° 396,Clínica Privada Sanatorio María Mater,1888,011-42875014,-58.270623200000003,-34.814760100000001,135
,387,387,VI,FLORENCIO VARELA,Florencio Varela,General Lavalle N° 16,Policlínica Centro Médico Florencio Varela,B1888IWB,011-42551198,-58.277502100000000,-34.811827600000001,136
,388,388,VI,FLORENCIO VARELA,Florencio Varela,Monteagudo N° 780,Centro Médico Monteagudo,B1888ENL,011-42872214,-58.274933689999997,-34.804179189999999,137
,389,389,VI,FLORENCIO VARELA,Florencio Varela,Camino General Belgrano N° 6256,Centro Médico San Orione,1888,011-42556126,-58.265293389999997,-34.779332500000002,138
,390,390,VI,FLORENCIO VARELA,Florencio Varela,H. Irigoyen N°2229,Consultorios Médicos y Odontológicos Comunitarios,1888, ,-58.255096299999998,-34.790868390000000,139
,391,391,VI,FLORENCIO VARELA,Florencio Varela,Avenida San Martin N° 2536 (ex 936),Centro de Rehabilitación Sur,1888, ,-58.278331389999998,-34.802111089999997,140
,525,537,VII,GENERAL RODRIGUEZ,General Rodriguez,Avenida Espana N° 352,Clínica Privada Centro S.A.,B1748FUQ,0237-4850750,-58.953426989999997,-34.605365689999999,141
,526,538,VII,GENERAL RODRIGUEZ,General Rodriguez,Pellegrini N° 596,Centro Médico Odontológico MEDIFE,1748,0237-4851625,-58.955784800000004,-34.607118589999999,142
,527,539,VII,GENERAL RODRIGUEZ,General Rodriguez,Sargento Cabral  N° 43,Policlínica  Malvinas Salud,1748, ,-58.921516189999998,-34.616963300000002,143
,528,540,VII,GENERAL RODRIGUEZ,General Rodriguez,Ruta 5 Km. 54.500 esq. Roldan,Hogar Geriátrico El Sheuen,1748, ,-58.912364840000002,-34.612394469999998,144
,529,541,VII,GENERAL RODRIGUEZ,General Rodriguez,Mariano Moreno N° 851,Fundación Hemocentro del Oeste(Centro Regional de Hemoterapia),1748, ,-58.970538900000001,-34.611882190000003,145
,530,542,V,GENERAL SAN MARTIN,Billinghurst,Moreno N° 4003,Policlinica Privada Billinghurst,1650,011-48421437,-58.572170190000001,-34.576280590000003,146
,531,543,V,GENERAL SAN MARTIN,CHILAVERT,Prof. Simon  N° 2684,Hogar Geriátrico Euroresidencia Villa Ballester,1650, ,-58.562781489999999,-34.542189790000002,147
