OID_,OBJECTID_1,OBJECTID_2,NOMBRE,CODIGO,JURISDICCI,LOC,CP,DIRECCION,TEL,EMAIL,PARTIDO,RSAN_08,X,Y,CENTER_ID
,"1,203","1,580",C. PREVEN. ACCIDENT. TRÁNSITO,"75,600,830",MUNI,San Isidro,"1,642",Tres de Febrero N° 510,011-45123491/92, ,SAN ISIDRO,V,-58.523647939999996,-34.472937899999998,1
,"1,204","1,581",HOGAR INF. DE TRÁNSITO MUN.,"75,600,643",MUNI,San Isidro,"1,642",Gaetán Gutierrez N° 939, , ,SAN ISIDRO,V,-58.503849520000003,-34.459651340000001,2
,"1,205","1,582",JARDÍN MATERNAL SANTA RITA,"75,600,864",MUNI,Villa Adelina,"1,607",Céspedes N° 2942, , ,SAN ISIDRO,V,-58.560226350000001,-34.523231539999998,3
,"1,206","1,583",C. DE PROM. TERCERA EDAD,"75,600,881",MUNI,Martínez,"1,640",El Cano N° 2340,011-45803122/3, ,SAN ISIDRO,V,-58.497539510000003,-34.470931129999997,4
,"1,207","1,782",C. PERIF. BECCAR,"75,600,546",MUNI,Beccar,"1,643",Udaondo y Bergallo S/N,011-45123152/67, ,SAN ISIDRO,V,-58.547423350000003,-34.463719509999997,5
,"1,208","1,783",C. DE PSICOPATOLOG. INFANTO JUVENIL,"75,600,724",MUNI,Beccar,"1,643",Av.Int. Tomkinson N° 2130,011-45123149/48, ,SAN ISIDRO,V,-58.543753340000002,-34.475579979999999,6
,"1,217","1,792",C.S. Dr. Fco.J. Muñiz,"75,600,473",MUNI,Beccar,"1,643",Av. Rolón N° 1854 PB,011-45123453/3162, ,SAN ISIDRO,V,-58.541307500000002,-34.468854899999997,7
,"1,218","1,793",C.A.P. LA RIBERA,"75,600,732",MUNI,San Isidro,"1,642",Coronel Rosales N° 1196 Bo. Bajo de San Isidro,011-45123150, ,SAN ISIDRO,V,-58.501364049999999,-34.466856929999999,8
,"1,219","1,808",C.PERIF. MARTINEZ,"75,600,686",MUNI,Martínez,"1,640",Saenz Valiente N° 2110,011-45803125/26, ,SAN ISIDRO,V,-58.526244470000002,-34.496458369999999,9
,"1,220","1,809",C.PERIF. DIAGONAL SALTA,"75,600,635",MUNI,Martínez,"1,640",Luis Beltrán N° 1110,011-45803127, ,SAN ISIDRO,V,-58.519909990000002,-34.490487590000001,10
,"1,221","1,811",C. DE REHAB. CARDÍACA,"75,600,899",MUNI,Martínez,"1,640",Alvear N° 507,011-47929835, ,SAN ISIDRO,V,-58.494669549999998,-34.486670099999998,11
,"1,222","1,824",H. CENTRAL MUN. de San Isidro,"75,600,481",MUNI,Acassuso,"1,641",Av. Santa Fe N°431,011-45123714/3715, ,SAN ISIDRO,V,-58.509721210000002,-34.477649810000003,12
,"1,223","1,825",C.A.P.S. San Isidro Labrador,"75,601,194",MUNI,San Isidro,"1,642",Tomkinson y Av. A. Rolón, , ,SAN ISIDRO,V,-58.537281839999999,-34.472395769999999,13
,"1,224","2,338",C.P.A.(GABA y Com. de 1/2 Día)-Adicciones,"75,601,900",PROV,San Isidro,"1,642",Rivadavia Nº 107,011-47471260, ,SAN ISIDRO,V,-58.511467039999999,-34.471868469999997,14
,"1,225",0,C. DE ZOONOSIS (HUMANO),"75,600,821",MUNI,ACASSUSO,"1,642",Av. Santa Fé N° 231, , ,SAN ISIDRO,V,-58.510901250000003,-34.476058070000001,15
,"1,226","1,219",DIR. 1º NIVEL AT.,"41,201,082",MUNI,José C. Paz,"1,665",Chile y Castelar S/N,02320-440800, ,JOSE C. PAZ,V,-58.731161780000001,-34.525084749999998,16
,"1,235","1,336",C.ASIST. LAS HERAS,"41,200,671",MUNI,José C. Paz,"1,665",Cnel. Arias y Av. Sarmiento,02320-462604, ,JOSE C. PAZ,V,-58.774372710000002,-34.537609019999998,17
,"1,236","1,337",C.ASIST. SAN ROQUE,"41,200,396",MUNI,José C. Paz,"1,665",Cacique Colique y Pavón N° 3545,011-44514327, ,JOSE C. PAZ,V,-58.723191759999999,-34.518893429999999,18
,"1,237","1,338",C.ASIST. SAGRADA FAMILIA,"41,200,817",MUNI,José C. Paz,"1,665",Uspallata y Londres n| 35,02320-445857, ,JOSE C. PAZ,V,-58.786789630000001,-34.509857859999997,19
,"1,238","1,339",C.ASIST. ZONA NORTE,"41,200,965",MUNI,José C. Paz,"1,665",Malnatti  N° 3759 e/Chile y M. Cané,02320-425432, ,JOSE C. PAZ,V,-58.727437219999999,-34.520870199999997,20
,"1,239","1,340",C.ASIST. Bº SUIZO INFICO,"41,200,957",MUNI,José C. Paz,"1,665",Balcarce N° 3812,02320-437049, ,JOSE C. PAZ,V,-58.747605069999999,-34.537629590000002,21
,"1,240","1,341",C.ASIST. Bº EL OMBU,"41,200,931",MUNI,José C. Paz,"1,665",Arenales N° 362,02320-436966, ,JOSE C. PAZ,V,-58.738148340000002,-34.509081270000003,22
,"1,241","1,342",C.ASIST. Bº URQUIZA,"41,201,023",MUNI,José C. Paz,"1,665",Bolivar esq. Caracas,02320-437666, ,JOSE C. PAZ,V,-58.812417600000003,-34.505954330000002,23
,"1,242","1,343",C.ASIST. SOL Y VERDE,"41,201,066",MUNI,José C. Paz,"1,665",Dinamarca y Finlay,02320-491561, ,JOSE C. PAZ,V,-58.798492719999999,-34.502063900000003,24
