OID_,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,INAUGURA,LIN_SENT_N,LIN_SENT_S,METROBUS
,1.000000000000000,Liniers, , , ,si,34 - 109 - 166,34 - 109 - 166,Metrobus Juan B. Justo
,2.000000000000000,Velez Sarsfield, , , ,si,34 - 99 - 166 - 172,34 - 99 - 166 - 172,Metrobus Juan B. Justo
,3.000000000000000,Polideportivo Velez Sarsfield,JUSTO JUAN B.,GARCIA JUAN AGUSTIN,JUSTO JUAN B. & GARCIA JUAN AGUSTIN,si,34 - 99 - 166 - 172,34 - 99 - 166 - 172,Metrobus Juan B. Justo
,4.000000000000000,Cortina,JUSTO JUAN B.,CORTINA,JUSTO JUAN B. & CORTINA,si,34 - 99 - 166 - 172,34 - 99 - 166 - 172,Metrobus Juan B. Justo
,5.000000000000000,Av. Lope de Vega,JUSTO JUAN B.,LOPE DE VEGA,JUSTO JUAN B. & LOPE DE VEGA,si,34 - 99 - 166 - 172,34 - 99 - 166 - 172,Metrobus Juan B. Justo
,6.000000000000000,Carrasco,JUSTO JUAN B.,CARRASCO,JUSTO JUAN B. & CARRASCO,si,34 - 99 - 166 - 172,34 - 99 - 166 - 172,Metrobus Juan B. Justo
,7.000000000000000,Av. Segurola,JUSTO JUAN B.,SEGUROLA,JUSTO JUAN B. & SEGUROLA,si,34 - 99 - 166 - 172,34 - 99 - 166 - 172,Metrobus Juan B. Justo
,8.000000000000000,Chivilcoy,JUSTO JUAN B.,CHIVILCOY,JUSTO JUAN B. & CHIVILCOY,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,9.000000000000000,Concordia,JUSTO JUAN B.,CONCORDIA,JUSTO JUAN B. & CONCORDIA,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,10.000000000000000,Av. Nazca,JUSTO JUAN B.,NAZCA,JUSTO JUAN B. & NAZCA,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,11.000000000000000,Artigas,JUSTO JUAN B.,ARTIGAS JOSE GERVASIO GRAL,JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,12.000000000000000,Boyaca,JUSTO JUAN B.,BOYACA,JUSTO JUAN B. & BOYACA,si,34 - 110 - 166,34 - 110 - 166,Metrobus Juan B. Justo
,13.000000000000000,Av. Donato Alvarez,JUSTO JUAN B.,ALVAREZ DONATO Tte. Gral.,JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.,si,34 - 110 - 166,34 - 110 - 166,Metrobus Juan B. Justo
,14.000000000000000,Av. San Martín,JUSTO JUAN B.,SAN MARTIN AV.,JUSTO JUAN B. & SAN MARTIN AV.,si,34 - 109 - 110 - 166,34 - 109 - 110 - 166,Metrobus Juan B. Justo
,15.000000000000000,Av. Honorio Pueyrredón,JUSTO JUAN B.,PUEYRREDON HONORIO DR.,JUSTO JUAN B. & PUEYRREDON HONORIO DR.,si,34 - 109 - 166,34 - 109 - 166,Metrobus Juan B. Justo
,16.000000000000000,Murillo,JUSTO JUAN B.,MURILLO,JUSTO JUAN B. & MURILLO,si,34 - 109 - 166,34 - 109 - 166,Metrobus Juan B. Justo
,17.000000000000000,Av. Corrientes,JUSTO JUAN B.,CORRIENTES,JUSTO JUAN B. & CORRIENTES,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,18.000000000000000,Aguirre,JUSTO JUAN B.,AGUIRRE,JUSTO JUAN B. & AGUIRRE,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,20.000000000000000,Honduras,JUSTO JUAN B.,HONDURAS,JUSTO JUAN B. & HONDURAS,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,21.000000000000000,Guatemala,JUSTO JUAN B.,GUATEMALA,JUSTO JUAN B. & GUATEMALA,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,23.000000000000000,Pacífico,BULLRICH INT AV,SANTA FE,BULLRICH INT AV & SANTA FE,si,34 - 166,34 - 166,Metrobus Juan B. Justo
,27.000000000000000,Estados Unidos,AV. 9 DE JULIO, ,Entre Carlos Calvo y Estados Unidos,si,10 -- 17 -- 59,59 -- 10 -- 17,Metrobus 9 de Julio
,28.000000000000000,Independencia,AV. 9 DE JULIO, ,Entre Estados Unidos e Independencia,si,45 -- 70,45 -- 70,Metrobus 9 de Julio
,29.000000000000000,Chile,AV. 9 DE JULIO, ,Entre Independencia y Chile,si,9 -- 91 -- 100,100 -- 9 -- 91,Metrobus 9 de Julio
,30.000000000000000,México,AV. 9 DE JULIO, ,Entre Chile y México,si,67 -- 98 -- 129,67 -- 129,Metrobus 9 de Julio
,31.000000000000000,Venezuela,AV. 9 DE JULIO, ,Entre México y Venezuela,si,10 -- 17 -- 59,59 -- 10 -- 17,Metrobus 9 de Julio
,32.000000000000000,Belgrano,AV. 9 DE JULIO, ,Entre Venezuela y Belgrano,si,45 -- 70 -- 100,100 -- 45 -- 70,Metrobus 9 de Julio
,33.000000000000000,Alsina,AV. 9 DE JULIO, ,Entre Moreno y Alsina,si,129,129,Metrobus 9 de Julio
,34.000000000000000,Yrigoyen,AV. 9 DE JULIO, ,Entre Alsina e Hipólito Yrigoyen,si,9 -- 91 -- 67,67 -- 9 -- 91,Metrobus 9 de Julio
,35.000000000000000,Mitre,AV. 9 DE JULIO, ,Entre Rivadavia y Bartolomé Mitro,si,10 -- 17 -- 59,59 -- 10 -- 17,Metrobus 9 de Julio
,36.000000000000000,Juan D. Perón,AV. 9 DE JULIO, ,Entre Bartolomé Mitre y Perón,si,45 -- 70 -- 100,100 -- 45 -- 70,Metrobus 9 de Julio
,37.000000000000000,Obelisco Sur,AV. 9 DE JULIO, ,Entre Juan D. Perón y Sarmiento,si,9 -- 67 -- 129,9 -- 67 -- 129,Metrobus 9 de Julio
,38.000000000000000,Obelisco Norte,AV. 9 DE JULIO, ,Entre Lavalle y Tucumán,si,100 -- 17 -- 59,59 -- 100 -- 17,Metrobus 9 de Julio
,39.000000000000000,Teatro Colón,AV. 9 DE JULIO, ,Entre Tucumán y Viamonte,si,45 -- 70 -- 10,10 -- 45 -- 70,Metrobus 9 de Julio
,40.000000000000000,Córdoba,AV. 9 DE JULIO, ,Entre Viamonte y Av Córdoba,si,9 -- 67,67 -- 9,Metrobus 9 de Julio
,41.000000000000000,Paraguay,AV. 9 DE JULIO, ,Entre Av Córdoba y Paraguay,si,10 -- 17 -- 59,59 -- 10 -- 17,Metrobus 9 de Julio
,42.000000000000000,Marcelo T. de Alvear,AV. 9 DE JULIO, ,Entre Paraguay y Marcelo T. de Alvear,si,129,129,Metrobus 9 de Julio
,43.000000000000000,Santa Fe,AV. 9 DE JULIO, ,Entre Marcelo T. de Alvear y Av. Santa Fe,si,100 -- 70 -- 67,100 -- 70 -- 67,Metrobus 9 de Julio
,44.000000000000000,Constitución, , , ,si, , ,Metrobus Sur
,45.000000000000000,Combate de los Pozos,GARAY JUAN DE AV, ,Entre Combate de los Pozos y Entre Ríos,si, ,4 - 143,Metrobus Sur - Ramal Fernández de la Cruz
,46.000000000000000,Pichincha,GARAY JUAN DE AV, ,Entre Pasco y Pichincha,si, ,4 - 143,Metrobus Sur - Ramal Fernández de la Cruz
,47.000000000000000,Jujuy,GARAY JUAN DE AV, ,Entre jujuy y Alberti,si, ,4 - 143,Metrobus Sur - Ramal Fernández de la Cruz
,48.000000000000000,La Rioja,CHICLANA AV, ,Entre La rioja y Gral Urquiza,si, ,143,Metrobus Sur - Ramal Fernández de la Cruz
,49.000000000000000,Sánchez de Loria,CHICLANA AV, ,Entre 24 de Noviembre y Sánchez de Loria,si,143,143,Metrobus Sur - Ramal Fernández de la Cruz
,50.000000000000000,Boedo,CHICLANA AV, ,Entre Álzaga y Boedo,si,143,101 - 143,Metrobus Sur - Ramal Fernández de la Cruz
,51.000000000000000,Caseros,FERNANDEZ DE LA CRUZ AV, ,Entre Caseros y Trole,si,23 - 101 - 143,101 - 143,Metrobus Sur - Ramal Fernández de la Cruz
,52.000000000000000,Av La Plata,FERNANDEZ DE LA CRUZ AV, ,Entre Gual y Riestra,si,23 - 101 - 143,101 - 143,Metrobus Sur - Ramal Fernández de la Cruz
,53.000000000000000,Del Barco Centenera,FERNANDEZ DE LA CRUZ AV, ,Entre Lanza y Del Barco Centenera,si,101 - 143,101 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz
,54.000000000000000,Perito Moreno,FERNANDEZ DE LA CRUZ AV, ,Entre Mom y Erezcano,si,101 - 143 -150,46 - 101 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz
