OID_,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_t,parent_sta
,1059N, ,San Pedrito, ,-34.630922591400001,-58.470433205500001,4, ,0,"1,059"
,1060N, ,San José de Flores, ,-34.629054502000002,-58.463536343800001,4, ,0,"1,060"
,1061N, ,Carabobo, ,-34.626422392700000,-58.456044495000000,4, ,0,"1,061"
,1062N, ,Puán, ,-34.623571847100003,-58.448787778700002,4, ,0,"1,062"
,1063N, ,Primera Junta, ,-34.620460192400003,-58.441400975000001,4, ,0,"1,063"
,1064N, ,Acoyte, ,-34.618036012399998,-58.435862213400000,4, ,0,"1,064"
,1065N, ,Río de Janeiro, ,-34.615111439400003,-58.429285879200002,4, ,0,"1,065"
,1066N, ,Castro Barros, ,-34.611763606899999,-58.421728313000003,4, ,0,"1,066"
,1067N, ,Loria, ,-34.610811060600000,-58.415152877499999,4, ,0,"1,067"
,1068N, ,Plaza Miserere, ,-34.609687999999998,-58.406813889699997,4, ,0,"1,068"
,1070N, ,Pasco, ,-34.609664444400003,-58.398340314000002,4, ,0,"1,070"
,1071N, ,Congreso, ,-34.609241486999998,-58.392670601500001,4, ,0,"1,071"
,1072N, ,Sáenz Peña, ,-34.609416989400003,-58.386668153099997,4, ,0,"1,072"
,1073N, ,Lima, ,-34.609105721500001,-58.382521122800000,4, ,0,"1,073"
,1074N, ,Piedras, ,-34.608837932100002,-58.378502407699997,4, ,0,"1,074"
,1075N, ,Perú, ,-34.608559343200000,-58.374563008400003,4, ,0,"1,075"
,1076N, ,Plaza de Mayo, ,-34.608695109499997,-58.371493220300003,4, ,0,"1,076"
,1059S, ,San Pedrito, ,-34.630922591400001,-58.470433205500001,4, ,0,"1,059"
,1060S, ,San José de Flores, ,-34.629054502000002,-58.463536343800001,4, ,0,"1,060"
,1061S, ,Carabobo, ,-34.626422392700000,-58.456044495000000,4, ,0,"1,061"
,1062S, ,Puán, ,-34.623571847100003,-58.448787778700002,4, ,0,"1,062"
,1063S, ,Primera Junta, ,-34.620460192400003,-58.441400975000001,4, ,0,"1,063"
,1064S, ,Acoyte, ,-34.618036012399998,-58.435862213400000,4, ,0,"1,064"
,1065S, ,Río de Janeiro, ,-34.615111439400003,-58.429285879200002,4, ,0,"1,065"
,1066S, ,Castro Barros, ,-34.611763606899999,-58.421728313000003,4, ,0,"1,066"
,1067S, ,Loria, ,-34.610811060600000,-58.415152877499999,4, ,0,"1,067"
,1068S, ,Plaza Miserere, ,-34.609687999999998,-58.406813889699997,4, ,0,"1,068"
,1069S, ,Alberti, ,-34.609832012900000,-58.400719910900001,4, ,0,"1,069"
,1071S, ,Congreso, ,-34.609241486999998,-58.392670601500001,4, ,0,"1,071"
,1072S, ,Sáenz Peña, ,-34.609416989400003,-58.386668153099997,4, ,0,"1,072"
,1073S, ,Lima, ,-34.609105721500001,-58.382521122800000,4, ,0,"1,073"
,1074S, ,Piedras, ,-34.608837932100002,-58.378502407699997,4, ,0,"1,074"
,1075S, ,Perú, ,-34.608559343200000,-58.374563008400003,4, ,0,"1,075"
,1076S, ,Plaza de Mayo, ,-34.608695109499997,-58.371493220300003,4, ,0,"1,076"
,1077N, ,Juan Manuel de Rosas, ,-34.574011003999999,-58.486718237500000,4, ,0,"1,077"
,1078N, ,Echeverría, ,-34.577998380399997,-58.480763733200000,4, ,0,"1,078"
,1079N, ,De Los Incas - Parque Chas, ,-34.581941400900000,-58.472949117299997,4, ,0,"1,079"
,1080N, ,Tronador - Villa Ortúzar, ,-34.584319159000003,-58.465676307599999,4, ,0,"1,080"
,1134O, ,Hospitales, ,-34.641752739700003,-58.412673175300000,4, ,0,"1,134"
,1135O, ,Parque Patricios, ,-34.638460262599999,-58.406328409899999,4, ,0,"1,135"
,1136O, ,Caseros, ,-34.635265854600000,-58.399158865200000,4, ,0,"1,136"
,1137O, ,Inclán, ,-34.629351188800001,-58.400986790700003,4, ,0,"1,137"
,1138O, ,Humberto 1, ,-34.623116366700003,-58.402322201099999,4, ,0,"1,138"
,1139O, ,Venezuela, ,-34.615227118500002,-58.404758647199998,4, ,0,"1,139"
,1140O, ,Once, ,-34.609147664299996,-58.406046777999997,4, ,0,"1,140"
,1141O, ,Corrientes, ,-34.603923811400001,-58.405317217099999,4, ,0,"1,141"
,1134E, ,Hospitales, ,-34.641752739700003,-58.412673175300000,4, ,0,"1,134"
,1135E, ,Parque Patricios, ,-34.638460262599999,-58.406328409899999,4, ,0,"1,135"
,1136E, ,Caseros, ,-34.635265854600000,-58.399158865200000,4, ,0,"1,136"
,1137E, ,Inclán, ,-34.629351188800001,-58.400986790700003,4, ,0,"1,137"
,1138E, ,Humberto 1, ,-34.623116366700003,-58.402322201099999,4, ,0,"1,138"
,1139E, ,Venezuela, ,-34.615227118500002,-58.404758647199998,4, ,0,"1,139"
,1140E, ,Once, ,-34.609147664299996,-58.406046777999997,4, ,0,"1,140"
,1141E, ,Corrientes, ,-34.603923811400001,-58.405317217099999,4, ,0,"1,141"
